userID;fecha
FakeUser42;15/01/2024_10:34
unixTimestamp;Timestamp;Situacion;Carga Cognitiva;Valor;Desviación
1705311318,33161;46,87365;Test1;MEDIUM;0,5059866;0,1402252
1705311319,32961;47,87095;Test1;MEDIUM;0,4840083;0,1386148
1705311320,33022;48,87150;Test1;MEDIUM;0,4949731;0,1358765
1705311321,32991;49,87135;Test1;HIGH;0,6699712;0,1373935
1705311322,33050;50,87194;Test1;HIGH;0,6842573;0,122426
1705311323,32951;51,87090;Test1;HIGH;0,6945152;0,1054797
1705311324,33258;52,87370;Test1;HIGH;0,7086926;0,1015623
1705311325,32970;53,87118;Test1;MEDIUM;0,4680651;0,1019386
1705311326,32962;54,87115;Test1;MEDIUM;0,4324385;0,1037519
1705311327,32906;55,87069;Test1;MEDIUM;0,4271589;0,09621121
1705311328,32978;56,87098;Test1;HIGH;0,816513;0,05035505
1705311329,31881;57,86071;Test1;MEDIUM;0,5948362;0,05169608
