userID;fecha
FakeUser42;12/01/2024_10:07
unixTimestamp;Timestamp;Situacion;Accion;Objeto
1705050465,13032;,09549;Test1;ENTRA_HEAD;Tree
1705050467,01536;1,98054;Test1;SALE_HEAD;Character
1705050470,39895;5,36433;Test1;ENTRA_HEAD;Grass
1705050470,44445;5,41019;Test1;ENTRA;Grass
1705050470,88795;5,85311;Test1;SALE_HEAD;Tree
1705050471,49863;6,46378;Test1;ENTRA_HEAD;Rock
1705050471,76557;6,73078;Test1;SALE_HEAD;Rock
1705050471,89881;6,86408;Test1;ENTRA_HEAD;Rock
1705050472,94339;7,90884;Test1;SALE;Grass
1705050472,95439;7,91972;Test1;ENTRA;Grass
1705050473,19842;8,16370;Test1;SALE;Attach
1705050473,20944;8,17505;Test1;ENTRA;Grass
1705050473,22091;8,18647;Test1;SALE;Grass
1705050473,23184;8,19713;Test1;ENTRA;Button Pause
1705050473,50919;8,47436;Test1;SALE_HEAD;Bottom Socket
1705050473,71856;8,68404;Test1;ENTRA_HEAD;Grass
1705050474,31770;9,28315;Test1;SALE_HEAD;Grass
1705050474,40802;9,37348;Test1;ENTRA_HEAD;Bottom Socket
1705050475,31323;10,27860;Test1;SALE;MysteryObstacle
1705050475,36941;10,33470;Test1;ENTRA;Rock
1705050475,46941;10,43474;Test1;SALE;MysteryObstacle
1705050475,48038;10,44568;Test1;ENTRA;MysteryObstacle
1705050476,50310;11,46839;Test1;SALE;Screen
1705050476,51343;11,47859;Test1;ENTRA;Screen
1705050476,54697;11,51250;Test1;SALE;Rock
1705050476,55794;11,52321;Test1;ENTRA;Screen
1705050476,56975;11,53488;Test1;SALE;Screen
1705050476,58092;11,54612;Test1;ENTRA;MysteryObstacle
1705050477,10309;12,06822;Test1;SALE_HEAD;EndLevelFlag
1705050477,62482;12,59025;Test1;SALE;Attach
1705050477,64712;12,61243;Test1;ENTRA;Attach
1705050477,80259;12,76819;Test1;ENTRA_HEAD;EndLevelFlag
1705050477,87003;12,83584;Test1;SALE;RockBlock(Clone)
1705050477,87453;12,83975;Test1;ENTRA;Shelf (3)
1705050477,87999;12,84554;Test1;SALE;Shelf (3)
