userID;fecha
FakeUser42;11/01/2024_16:33
unixTimestamp;Timestamp;Situacion;Estado;BPM
1704987225,85539;19,19526;Test1;HIGH;80
1704987230,87632;24,21614;Test1;HIGH;80
1704987235,90857;29,24862;Test1;HIGH;82
1704987240,91932;34,25917;Test1;HIGH;82
1704987245,94227;39,28217;Test1;HIGH;82
1704987250,96524;44,30535;Test1;HIGH;85
1704987255,98834;49,32855;Test1;HIGH;83
1704987261,01023;54,35081;Test1;HIGH;83
1704987266,02184;59,36187;Test1;HIGH;84
1704987271,04390;64,38367;Test1;HIGH;78
1704987276,06544;69,40535;Test1;HIGH;81
1704987281,08779;74,42786;Test1;HIGH;82
1704987286,10995;79,44975;Test1;HIGH;80
1704987291,11992;84,46063;Test1;HIGH;84
1704987296,14283;89,48296;Test1;HIGH;82
1704987301,16707;94,50726;Test1;HIGH;90
1704987306,18748;99,52757;Test1;HIGH;87
1704987311,20683;104,54697;Test1;LOW;61
1704987316,22917;109,56907;Test1;MEDIUM;71
1704987321,25035;114,59039;Test1;MEDIUM;73
1704987326,26161;119,60155;Test1;NONE;0
1704987331,28334;124,62356;Test1;MEDIUM;66
1704987336,30570;129,64566;Test1;MEDIUM;73
1704987341,31873;134,65936;Test1;NONE;0
1704987346,33856;139,67862;Test1;MEDIUM;71
1704987351,36157;144,70178;Test1;HIGH;78
1704987356,38313;149,72333;Test1;HIGH;81
1704987361,40535;154,74521;Test1;HIGH;78
1704987366,42701;159,76718;Test1;MEDIUM;69
1704987371,43780;164,77783;Test1;HIGH;79
1704987376,45977;169,79980;Test1;LOW;40
1704987381,48302;174,82300;Test1;MEDIUM;70
1704987386,49700;179,83679;Test1;LOW;61
1704987391,51854;184,85876;Test1;LOW;53
1704987396,54261;189,88235;Test1;LOW;50
1704987401,57510;194,91525;Test1;LOW;48
1704987406,58621;199,92636;Test1;HIGH;83
1704987411,59641;204,93655;Test1;HIGH;80
1704987416,61840;209,95856;Test1;HIGH;78
1704987421,64161;214,98157;Test1;MEDIUM;74
1704987426,66296;220,00305;Test1;HIGH;80
1704987431,67452;225,01425;Test1;HIGH;77
1704987436,69598;230,03616;Test1;HIGH;82
1704987441,71832;235,05853;Test1;HIGH;83
1704987446,74148;240,08124;Test1;HIGH;81
1704987451,76326;245,10309;Test1;HIGH;76
1704987456,77422;250,11420;Test1;MEDIUM;69
1704987461,79784;255,13846;Test1;HIGH;79
1704987466,82272;260,16266;Test1;HIGH;79
1704987471,84133;265,18134;Test1;HIGH;77
1704987476,85174;270,19162;Test1;HIGH;76
1704987481,87394;275,21384;Test1;MEDIUM;74
1704987486,89596;280,23633;Test1;MEDIUM;75
1704987491,91838;285,25815;Test1;HIGH;77
1704987496,92985;290,26965;Test1;HIGH;78
1704987501,95110;295,29099;Test1;HIGH;81
