userID;fecha
FakeUser42;11/04/2024_10:37
unixTimestamp;Timestamp;Situacion;Accion;Objeto
1712824630,91048;1,86990;Test1;ENTRA_HEAD;Tree
1712824632,78574;3,74548;Test1;SALE_HEAD;Tree
1712824635,50505;6,46441;Test1;ENTRA_HEAD;Tree
1712824637,78745;8,74749;Test1;SALE_HEAD;Tree
1712824640,50648;11,46610;Test1;ENTRA_HEAD;Tree
1712824642,78745;13,74744;Test1;SALE_HEAD;Tree
1712824645,50465;16,46459;Test1;ENTRA_HEAD;Tree
1712824647,78586;18,74617;Test1;SALE_HEAD;Tree
1712824650,50449;21,46442;Test1;ENTRA_HEAD;Tree
1712824652,78730;23,74694;Test1;SALE_HEAD;Tree
1712824655,50566;26,46502;Test1;ENTRA_HEAD;Tree
1712824657,78448;28,74475;Test1;SALE_HEAD;Tree
1712824660,50634;31,46638;Test1;ENTRA_HEAD;Tree
1712824662,78396;33,74421;Test1;SALE_HEAD;Tree
1712824665,50488;36,46507;Test1;ENTRA_HEAD;Tree
1712824667,78723;38,74722;Test1;SALE_HEAD;Tree
1712824670,50644;41,46635;Test1;ENTRA_HEAD;Tree
1712824672,78548;43,74573;Test1;SALE_HEAD;Tree
